Country,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Weight_new,Freight_cost_new,Shipping_cost
Zambia,Direct Drop,EXW,Air,2007-01-08,2007-01-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,400mg,Test kit,3.091042453358316,7.824845691026856,11.512945464770231,3.7376696182833684,1.3862943611198906,"Trinity Biotech, Plc",Yes,6.75110146893676,9.51572654783291,0.7419373447293773,Normal Measurement,Normal Measurement,21.770609357332518
Nigeria,Direct Drop,EXW,Air,2007-01-10,2007-01-10,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,50mg,Test kit,4.624972813284271,2.4849066497880004,6.747586526829315,4.465908118654584,1.0473189942805592,"EY Laboratories, USA",Yes,8.139277481362894,9.315171881471608,0.7419373447293773,Weight Captured Separately,Invoiced Separately,16.8046957530303
Rwanda,Direct Drop,EXW,Air,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,4.127134385045092,9.21054035197885,11.510943502178916,2.4832385926873033,0.7747271675523681,"Cipla, Goa, India",Yes,8.911664758049536,11.069469039691759,0.7419373447293773,Normal Measurement,Normal Measurement,23.32234988660005
Haiti,Direct Drop,EXW,Air,2007-01-18,2007-01-18,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,4.624972813284271,6.62273632394984,11.002133173982028,4.406719247264253,1.0296194171811581,ABBVIE GmbH & Co.KG Wiesbaden,Yes,5.552959584921617,7.474386401811465,0.7419373447293773,Normal Measurement,Normal Measurement,19.21845692052287
Zimbabwe,Direct Drop,CIP,Air,2007-03-19,2007-03-19,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,200mg,Tablet,4.127134385045092,6.364750756851911,9.600116380619706,3.3141860046725258,0.883767540168595,"BMS Meymac, France",Yes,8.139277481362894,9.315171881471608,0.7419373447293773,Weight Captured Separately,Freight Included in Commodity Cost,19.657225606820692
Nigeria,Direct Drop,CIP,Air,2007-05-07,2007-05-07,HRDT,HIV test,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit",Determine,50mg,Test kit,4.624972813284271,7.31455283232408,11.695263688291963,4.406719247264253,1.0296194171811581,ABBVIE GmbH & Co.KG Wiesbaden,Yes,8.139277481362894,9.315171881471608,5.267858159063328,Weight Captured Separately,Freight Included in Commodity Cost,26.278293728826903
Rwanda,Direct Drop,EXW,Air,2007-03-29,2007-03-29,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,300mg,Test kit,3.4657359027997265,7.601901959875166,10.40432344467275,2.917770732084279,0.9360933591703348,Premier Med. Corp Ltd. India,Yes,6.568077911411976,8.046453291189533,0.7419373447293773,Normal Measurement,Normal Measurement,19.19271408059166
Nigeria,Direct Drop,EXW,Air,2007-06-19,2007-06-19,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,10mg/ml,Test kit,4.624972813284271,6.90975328164481,11.289806913343524,4.406719247264253,1.0296194171811581,ABBVIE GmbH & Co.KG Wiesbaden,Yes,5.8377304471659395,7.895238594534768,4.867534450455582,Normal Measurement,Normal Measurement,24.052579958333876
Nigeria,Direct Drop,EXW,Air,2007-06-19,2007-06-19,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,80/20mg/ml,Test kit,3.091042453358316,8.922924930641832,12.218505042023168,3.367295829986474,1.208960345836975,Chembio Diagnostics Sys. Inc.,Yes,7.731930721948486,9.673804540481946,0.7419373447293773,Normal Measurement,Normal Measurement,22.63424692723449
Côte d'Ivoire,Direct Drop,CIP,Air,2007-10-02,2007-10-02,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,200mg,Tablet,4.127134385045092,8.615226931687603,11.853556897275858,3.3141860046725258,0.883767540168595,"BMS Meymac, France",Yes,7.662937850461535,9.315171881471608,5.424641599881531,Normal Measurement,Freight Included in Commodity Cost,26.593370378628997
Vietnam,Direct Drop,EXW,Air,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,10mg/ml,Oral suspension,5.488937726156687,6.90975328164481,7.561121589530238,1.366091653802371,0.6981347220709843,"Aurobindo Unit III, India",Yes,6.849066282633458,8.341765417801145,1.623340817603092,Normal Measurement,Normal Measurement,17.526227824934477
Vietnam,Direct Drop,FCA,Air,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,4.804021044733257,6.218600119691729,10.623690405119499,4.4330761493495725,0.9858167945227654,ABBVIE Ludwigshafen Germany,Yes,4.77912349311153,7.478384481718759,4.21582445975981,Normal Measurement,Normal Measurement,22.317899346598068
Haiti,Direct Drop,EXW,Air,2007-08-13,2007-08-21,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,60mg,Test kit,4.624972813284271,6.62273632394984,10.896637468507308,4.303929948937459,1.000631880307906,Inverness Japan,Yes,5.153291594497779,8.166324217310924,4.481758841072857,Normal Measurement,Normal Measurement,23.544720526891087
Haiti,Direct Drop,EXW,Air,2007-08-25,2007-08-25,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,4.624972813284271,3.295836866004329,9.077037524661762,5.863631175598097,1.7047480922384253,"Pacific Biotech, Thailand",Yes,4.127134385045092,8.03910900220577,2.772588722239781,Normal Measurement,Normal Measurement,19.888735249107313
Tanzania,Direct Drop,EXW,Air,2007-10-16,2007-10-16,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,150/300/200mg,Test kit,3.295836866004329,9.21054035197885,12.206082645480175,3.091042453358316,1.0296194171811581,"Standard Diagnostics, Korea",Yes,8.112827478751374,10.235368551250511,5.7745515455444085,Normal Measurement,Normal Measurement,28.216002742275094
Tanzania,Direct Drop,EXW,Air,2007-11-22,2007-11-22,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,3.295836866004329,9.21054035197885,12.206082645480175,3.091042453358316,1.0296194171811581,"Standard Diagnostics, Korea",Yes,8.112827478751374,10.256363790518714,5.7745515455444085,Normal Measurement,Normal Measurement,28.236997981543297
Tanzania,Direct Drop,EXW,Air,2007-11-22,2007-11-22,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,200mg,Test kit,3.295836866004329,9.21054035197885,12.206082645480175,3.091042453358316,1.0296194171811581,"Standard Diagnostics, Korea",Yes,8.112827478751374,10.252798448307548,5.7745515455444085,Normal Measurement,Normal Measurement,28.233432639332133
Ethiopia,Direct Drop,EXW,Air,2007-11-20,2007-11-20,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,4.127134385045092,11.066669611853538,11.50491345436005,1.2669476034873244,0.7080357930536959,"Aurobindo Unit III, India",Yes,8.349957272040324,9.41243269281359,5.079663720506679,Normal Measurement,Normal Measurement,25.99700986768032
Nigeria,Direct Drop,EXW,Air,2007-10-03,2007-10-03,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,600/300/300mg,Test kit,3.091042453358316,9.21054035197885,12.506184645360484,3.367295829986474,1.208960345836975,Chembio Diagnostics Sys. Inc.,Yes,8.09101504171053,9.94691957796042,6.073044534100405,Normal Measurement,Normal Measurement,28.52614875742131
South Africa,Direct Drop,DDP,Air,2008-01-29,2008-01-29,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Zidovudine,Retrovir,10mg/ml,Oral solution,5.308267697401205,3.7376696182833684,5.7670702138921195,2.296567020668483,0.712949807856125,GSK Mississauga (Canada),Yes,8.139277481362894,9.315171881471608,0.9202827531436925,Weight Captured Separately,Freight Included in Commodity Cost,16.00252484850742
Vietnam,Direct Drop,EXW,Air,2008-01-21,2008-01-21,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,3.4657359027997265,6.90975328164481,9.741086263177305,2.9444389791664403,0.9439058989071284,Gilead(Nycomed) Oranienburg DE,Yes,4.356708826689592,7.733933101812071,3.374168709274236,Normal Measurement,Normal Measurement,20.849188074263612
South Africa,Direct Drop,DDP,Air,2008-01-21,2008-01-04,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Stavudine,Zerit,1mg/ml,Powder for oral solution,5.308267697401205,5.308267697401205,5.834810737062605,1.308332819650179,0.6981347220709843,"BMS Meymac, France",Yes,8.139277481362894,9.315171881471608,0.9321640810304452,Weight Captured Separately,Freight Included in Commodity Cost,16.08214669956466
Côte d'Ivoire,Direct Drop,EXW,Air,2008-06-17,2008-06-17,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Genie,300/100mg,Test kit,3.7376696182833684,6.169610732491456,10.49620647826158,4.356708826689592,1.3609765531356006,Bio-Rad Laboratories,Yes,6.236369590203704,8.60309745578279,4.092342559551428,Normal Measurement,Normal Measurement,23.191646493595798
Côte d'Ivoire,Direct Drop,EXW,Air,2009-03-19,2009-03-19,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,600mg,Test kit,3.295836866004329,6.493753839851686,9.486607541612665,3.091042453358316,1.0296194171811581,"Standard Diagnostics, Korea",Yes,5.337538079701318,7.88537438498097,3.326114575537799,Normal Measurement,Normal Measurement,20.698096502131435
Ethiopia,Direct Drop,DDP,Truck,2008-03-11,2008-03-11,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit",Capillus,200/300mg,Test kit,4.624972813284271,4.174387269895637,9.50310326517045,5.369195127181474,1.4182774069729414,"Trinity Biotech, Plc",Yes,8.139277481362894,9.315171881471608,3.154443964708812,Weight Captured Separately,Freight Included in Commodity Cost,21.97271911135087
Zimbabwe,Direct Drop,EXW,Air,2008-11-17,2008-11-17,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,150/300/200mg,Test kit,4.624972813284271,7.400009517162692,11.675330497982046,4.303929948937459,1.000631880307906,Inverness Japan,Yes,5.926926025970411,8.322262877282629,5.24812872496475,Normal Measurement,Normal Measurement,25.245722100229425
Nigeria,Direct Drop,EXW,Air,2008-04-17,2008-04-17,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,20mg/ml,Test kit,3.091042453358316,7.2633296174768365,10.55781593916244,3.367295829986474,1.208960345836975,Chembio Diagnostics Sys. Inc.,Yes,6.184148890937483,8.607194759990339,4.151984341668515,Normal Measurement,Normal Measurement,23.316995040821297
Vietnam,Direct Drop,EXW,Air,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz,Generic,600mg,Tablet,3.4657359027997265,9.036225051729327,11.476614115511072,2.601207105484161,0.8671004876833833,Mylan (formerly Matrix) Nashik,Yes,6.486160788944089,8.307296511587538,5.051713255854102,Normal Measurement,Normal Measurement,24.83562388295271
South Africa,Direct Drop,DDP,Truck,2008-04-24,2008-04-24,ARV,Adult,S. BUYS WHOLESALER,Saquinavir,Invirase,200mg,Capsule,5.605802066295998,2.0794415416798357,6.008960594724733,4.2414706271123945,0.8109302162163288,Roche Basel,Yes,8.139277481362894,9.315171881471608,0.9745596399981308,Weight Captured Separately,Freight Included in Commodity Cost,16.29869211619447
South Africa,Direct Drop,DDP,Truck,2008-04-24,2008-04-24,ARV,Pediatric,S. BUYS WHOLESALER,Stavudine,Zerit,1mg/ml,Powder for oral solution,5.308267697401205,6.400257445308821,6.77078942390898,1.2383742310432684,0.6981347220709843,"BMS Meymac, France",No,8.139277481362894,9.315171881471608,1.2208299213923588,Weight Captured Separately,Freight Included in Commodity Cost,17.306791226772944
Vietnam,Direct Drop,CIP,Air,2008-07-12,2008-07-12,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,25mg,Chewable/dispersible tablet,4.127134385045092,5.996452088619021,7.938088726896952,2.1972245773362196,0.7514160886839212,"BMS Meymac, France",Yes,4.418840607796598,7.702126933559936,1.8687205103641833,Normal Measurement,Normal Measurement,17.508936170821073
South Africa,Direct Drop,DDP,Air,2008-04-25,2008-04-07,ARV,Pediatric,S. BUYS WHOLESALER,Didanosine,Videx,25mg,Chewable/dispersible tablet,4.127134385045092,2.0794415416798357,4.370712874773608,2.6979998652487085,0.7929925155296614,"BMS Meymac, France",Yes,8.139277481362894,9.315171881471608,0.7514160886839212,Weight Captured Separately,Freight Included in Commodity Cost,14.437300844929137
Nigeria,Direct Drop,EXW,Air,2008-07-09,2008-07-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,200mg,Test kit,4.624972813284271,8.612503371220562,12.99404584325208,4.406597288608086,1.0296194171811581,Inverness Japan,Yes,7.133295954896068,9.686091204365736,6.559133535091,Normal Measurement,Normal Measurement,29.239270582708816
Nigeria,Direct Drop,EXW,Air,2008-07-09,2008-07-04,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,4.624972813284271,8.612503371220562,4.0427003290697625,0.6981347220709843,0.6931471805599453,Inverness Japan,Yes,8.139277481362894,9.315171881471608,0.7371640659767196,Weight Captured Separately,Invoiced Separately,14.095036276518089
Ethiopia,Direct Drop,DDP,Air,2008-05-09,2008-05-09,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,150mg,Test kit,3.091042453358316,2.833213344056216,6.5416358762154045,3.873074255289571,1.4586150226995167,"Trinity Biotech, Plc",Yes,8.139277481362894,9.315171881471608,1.1346227261911428,Weight Captured Separately,Freight Included in Commodity Cost,16.991430483878155
Vietnam,Direct Drop,EXW,Air,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,3.4657359027997265,7.204892510204673,9.817986307450395,2.751109690562657,0.9001613499442714,Mylan (formerly Matrix) Nashik,Yes,7.338888133838879,9.511179509397111,3.445852022202587,Normal Measurement,Normal Measurement,22.775017839050093
South Africa,Direct Drop,DDP,Truck,2008-08-20,2008-08-20,ARV,Adult,S. BUYS WHOLESALER,Stavudine,Zerit,20mg,Capsule,4.127134385045092,3.091042453358316,4.657762636107262,1.969905654611529,0.7371640659767196,"BMS Meymac, France",Yes,8.139277481362894,9.315171881471608,0.7884573603642703,Weight Captured Separately,Freight Included in Commodity Cost,14.761391877943142
South Africa,Direct Drop,DDP,Truck,2008-08-20,2008-05-08,ARV,Adult,S. BUYS WHOLESALER,Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,3.4657359027997265,4.624972813284271,7.553810852008231,3.0473755067058295,0.9707789171582248,"BMS Meymac, France",Yes,8.139277481362894,9.315171881471608,1.6193882432872684,Weight Captured Separately,Freight Included in Commodity Cost,18.488370976767108
South Africa,Direct Drop,DDP,Truck,2008-08-20,2008-05-08,ARV,Pediatric,S. BUYS WHOLESALER,Stavudine,Zerit,1mg/ml,Powder for oral solution,5.308267697401205,6.51025834052315,6.934494576171758,1.2612978709452054,0.6981347220709843,"BMS Meymac, France",No,8.139277481362894,9.315171881471608,1.2919836816486492,Weight Captured Separately,Freight Included in Commodity Cost,17.541650139292013
South Africa,Direct Drop,DDP,Truck,2008-06-12,2008-06-09,ARV,Adult,S. BUYS WHOLESALER,Abacavir,Ziagen,300mg,Tablet - blister,4.127134385045092,3.4657359027997265,6.957877888385347,3.610377225958979,0.9477893989335261,GSK Ware (UK),Yes,8.139277481362894,9.315171881471608,1.3029127521808395,Weight Captured Separately,Freight Included in Commodity Cost,17.57596252203779
Vietnam,Direct Drop,EXW,Air,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,Lamivudine,Generic,150mg,Tablet,4.127134385045092,10.562095046821328,11.437533592045453,1.4816045409242156,0.712949807856125,"Aurobindo Unit III, India",Yes,7.908754738783246,9.831815380641606,5.01316542394988,Normal Measurement,Normal Measurement,26.28251439663694
Nigeria,Direct Drop,EXW,Air,2009-02-25,2008-09-09,ACT,ACT,IDA FOUNDATION,Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,6.295266001439646,3.58351893845611,7.345803736986321,3.8611506750543896,0.7323678937132266,"Novartis Pharma AG, Switzerland",Yes,4.762173934797756,7.4718581278430545,1.4996230464268938,Normal Measurement,Normal Measurement,16.31728491125627
Vietnam,Direct Drop,EXW,Air,2008-10-08,2008-10-08,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,4.127134385045092,10.645472515179373,11.017021293881239,1.2383742310432684,0.7030975114131134,"Aurobindo Unit III, India",Yes,7.86403565907245,9.228294232532278,4.599554447202456,Normal Measurement,Normal Measurement,24.84486997361597
South Africa,Direct Drop,DDP,Truck,2008-07-10,2008-07-08,ARV,Pediatric,S. BUYS WHOLESALER,Nevirapine,Viramune,10mg/ml,Oral suspension,5.488937726156687,3.9512437185814275,6.5489351786970165,2.768204123921957,0.7227059828014898,"BI, Ingelheim, Germany",Yes,8.139277481362894,9.315171881471608,1.1346227261911428,Weight Captured Separately,Freight Included in Commodity Cost,16.998729786359768
Vietnam,Direct Drop,EXW,Air,2008-11-27,2008-11-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz,Generic,600mg,Tablet,3.4657359027997265,9.729253205924792,12.050552695346656,2.5006159434931803,0.85015092936961,Mylan (formerly Matrix) Nashik,Yes,7.111512116496157,8.45294902695149,5.8216840218083385,Normal Measurement,Normal Measurement,26.325185744106484
Zambia,Direct Drop,EXW,Air,2008-10-20,2008-10-20,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,200mg,Test kit,4.624972813284271,8.412277021466677,12.68836606991753,4.303929948937459,1.000631880307906,Inverness Japan,Yes,6.961296045910167,9.311456392495627,6.456691159555796,Normal Measurement,Normal Measurement,28.456513621968952
Namibia,Direct Drop,EXW,Air,2008-09-18,2008-09-18,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,600/300/300mg,Test kit,3.091042453358316,2.4849066497880004,5.7745515455444085,3.5263605246161616,1.2809338454620642,"Trinity Biotech, Plc",Yes,8.139277481362894,9.315171881471608,0.9202827531436925,Weight Captured Separately,Invoiced Separately,16.01000618015971
Côte d'Ivoire,Direct Drop,EXW,Air,2008-10-02,2008-10-02,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Genie,600mg,Test kit,3.7376696182833684,6.218600119691729,10.545394068902477,4.356708826689592,1.3609765531356006,Bio-Rad Laboratories,Yes,6.335054251498059,9.332569509059034,4.139955073474153,Normal Measurement,Normal Measurement,24.01791865143566
Côte d'Ivoire,Direct Drop,EXW,Air,2009-01-23,2009-01-23,ACT,ACT,IDA FOUNDATION,Artesunate+Amodiaquine,Generic,50+153mg,Tablet - FDC + co-blister,2.6390573296152584,10.126711100650509,9.185227671161108,0.8712933659434193,0.7080357930536959,Ipca Dadra/Nagar Haveli IN,Yes,7.444248649496705,9.459768244050695,3.0497468618602293,Normal Measurement,Normal Measurement,21.69474277707203
Nigeria,Direct Drop,CIP,Air,2009-03-10,2009-04-08,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,3.4657359027997265,2.3978952727983707,6.121615231573027,3.9589065913269965,1.3029127521808395,"MSD, Haarlem, NL",Yes,8.139277481362894,9.315171881471608,1.0612565021243408,Weight Captured Separately,Freight Included in Commodity Cost,16.498043615168974
Namibia,Direct Drop,EXW,Air,2008-10-29,2008-10-29,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Determine,200mg,Test kit,4.624972813284271,5.0238805208462765,9.287347708336966,4.303929948937459,1.000631880307906,Inverness Japan,Yes,3.871201010907891,7.901021866697497,3.142858338444285,Normal Measurement,Normal Measurement,20.33122791347875
South Africa,Direct Drop,DDP,Truck,2009-05-17,2008-10-09,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,3.4657359027997265,4.406719247264253,7.513381862012587,3.2140642678709788,1.0152306797290584,"Aspen-OSD, Port Elizabeth, SA",Yes,8.139277481362894,9.315171881471608,1.7209792871670078,Weight Captured Separately,Freight Included in Commodity Cost,18.549533030651205
South Africa,Direct Drop,DDP,Truck,2009-05-17,2009-05-17,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,3.4657359027997265,4.804021044733257,7.918483082339726,3.2140642678709788,1.0152306797290584,"Aspen-OSD, Port Elizabeth, SA",Yes,8.139277481362894,9.315171881471608,1.998773638612381,Weight Captured Separately,Freight Included in Commodity Cost,19.232428602423713
South Africa,Direct Drop,DDP,Truck,2009-05-17,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,Stavudine,Zerit,1mg/ml,Powder for oral solution,5.308267697401205,6.400257445308821,6.756932389247553,1.2325602611778486,0.6981347220709843,"BMS Meymac, France",No,8.139277481362894,9.315171881471608,1.3029127521808395,Weight Captured Separately,Freight Included in Commodity Cost,17.375017022900003
South Africa,Direct Drop,DDP,Truck,2009-05-17,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,Didanosine,Videx,100mg,Chewable/dispersible tablet,4.127134385045092,2.1972245773362196,4.536355869987732,2.711377991194885,0.7975071958841882,"BMS Meymac, France",No,8.139277481362894,9.315171881471608,0.7793248768009977,Weight Captured Separately,Freight Included in Commodity Cost,14.630852628260337
